,missing_pct
user_id,0.0
app_name,0.0
age,0.0
gender,0.0
country,0.0
urban_rural,0.0
income_level,0.0
employment_status,0.0
education_level,0.0
relationship_status,0.0
has_children,0.0
exercise_hours_per_week,0.0
sleep_hours_per_night,0.0
diet_quality,0.0
smoking,0.0
alcohol_frequency,0.0
perceived_stress_score,0.0
self_reported_happiness,0.0
body_mass_index,0.0
blood_pressure_systolic,0.0
blood_pressure_diastolic,0.0
daily_steps_count,0.0
weekly_work_hours,0.0
hobbies_count,0.0
social_events_per_month,0.0
books_read_per_year,0.0
volunteer_hours_per_month,0.0
travel_frequency_per_year,0.0
daily_active_minutes_instagram,0.0
sessions_per_day,0.0
posts_created_per_week,0.0
reels_watched_per_day,0.0
stories_viewed_per_day,0.0
likes_given_per_day,0.0
comments_written_per_day,0.0
dms_sent_per_week,0.0
dms_received_per_week,0.0
ads_viewed_per_day,0.0
ads_clicked_per_day,0.0
time_on_feed_per_day,0.0
time_on_explore_per_day,0.0
time_on_messages_per_day,0.0
time_on_reels_per_day,0.0
followers_count,0.0
following_count,0.0
uses_premium_features,0.0
notification_response_rate,0.0
account_creation_year,0.0
last_login_date,0.0
average_session_length_minutes,0.0
content_type_preference,0.0
preferred_content_theme,0.0
privacy_setting_level,0.0
two_factor_auth_enabled,0.0
biometric_login_used,0.0
linked_accounts_count,0.0
subscription_status,0.0
user_engagement_score,0.0
