,negative_count
user_id,0
age,0
exercise_hours_per_week,0
sleep_hours_per_night,0
perceived_stress_score,0
self_reported_happiness,0
body_mass_index,0
blood_pressure_systolic,0
blood_pressure_diastolic,0
daily_steps_count,0
weekly_work_hours,0
hobbies_count,0
social_events_per_month,0
books_read_per_year,0
volunteer_hours_per_month,0
travel_frequency_per_year,0
daily_active_minutes_instagram,0
sessions_per_day,0
posts_created_per_week,0
reels_watched_per_day,0
stories_viewed_per_day,0
likes_given_per_day,0
comments_written_per_day,0
dms_sent_per_week,0
dms_received_per_week,0
ads_viewed_per_day,0
ads_clicked_per_day,0
time_on_feed_per_day,0
time_on_explore_per_day,0
time_on_messages_per_day,0
time_on_reels_per_day,0
followers_count,0
following_count,0
notification_response_rate,0
account_creation_year,0
average_session_length_minutes,0
linked_accounts_count,0
user_engagement_score,0
