component,explained_var,cumulative_var
1,0.5876258391351633,0.5876258391351633
2,0.1365475984608927,0.724173437596056
3,0.10703774453598605,0.831211182132042
4,0.07684245316506726,0.9080536352971093
5,0.034638342624818554,0.9426919779219278
6,0.017138229700513048,0.9598302076224409
7,0.009384719045114202,0.969214926667555
8,0.009136852971336968,0.978351779638892
9,0.0072335958650451655,0.9855853755039371
10,0.005638551336405622,0.9912239268403428
11,0.004710927269365767,0.9959348541097085
12,0.0032551558531389965,0.9991900099628475
13,0.000809990037152214,0.9999999999999997
