,PCA1,PCA2
user_engagement_score,-0.22691495461520664,0.34820391314123617
sessions_per_day,0.2804331262299298,0.08377098295192822
daily_active_minutes_instagram,0.35562057595981283,0.09394547209325939
average_session_length_minutes,0.07057770763161339,-0.13025951865611063
likes_given_per_day,0.3502835980099513,0.09607447462992223
comments_written_per_day,0.3399169743759976,0.09735670182484532
stories_viewed_per_day,0.3473539016894425,0.05913204346653104
reels_watched_per_day,0.3182873105564187,0.16636003323717127
time_on_feed_per_day,0.34895753703928356,0.09423499597898749
time_on_reels_per_day,0.3379012417640715,0.09439014735703197
creator_post_ratio,-0.17328270174216634,0.5800558028478497
broadcast_ratio,-0.11051550954735859,0.6638651405306792
audience_ratio,0.005174961325148958,0.03302844921729154
