,zero_count
linked_accounts_count,210638
ads_clicked_per_day,78729
hobbies_count,77562
travel_frequency_per_year,77050
perceived_stress_score,37743
posts_created_per_week,34232
social_events_per_month,28482
notification_response_rate,7736
ads_viewed_per_day,527
volunteer_hours_per_month,312
comments_written_per_day,108
exercise_hours_per_week,99
books_read_per_year,57
weekly_work_hours,49
dms_received_per_week,16
dms_sent_per_week,3
user_id,0
age,0
self_reported_happiness,0
sleep_hours_per_night,0
body_mass_index,0
daily_steps_count,0
likes_given_per_day,0
stories_viewed_per_day,0
reels_watched_per_day,0
sessions_per_day,0
daily_active_minutes_instagram,0
blood_pressure_diastolic,0
blood_pressure_systolic,0
time_on_feed_per_day,0
time_on_messages_per_day,0
time_on_explore_per_day,0
followers_count,0
time_on_reels_per_day,0
following_count,0
account_creation_year,0
average_session_length_minutes,0
user_engagement_score,0
