,PCA1,PCA2,PCA3
user_id,-0.0005104008820686959,0.002640710547863638,-0.002542667045807642
age,-0.06656415479043587,-0.22633291933500505,0.0756148173716931
exercise_hours_per_week,6.222064065495499e-05,-0.001811212060812444,0.003951258492845221
sleep_hours_per_night,-0.00048680439913689093,-0.0017530282140635614,0.0022072782453308537
perceived_stress_score,0.22943851450765604,-0.052219667792347185,-0.030699647322463487
self_reported_happiness,-0.10239592650728546,0.05268326378152754,-0.13929355415702546
body_mass_index,-3.9420879564063305e-05,-0.001746096065002455,-0.00018950975819866057
blood_pressure_systolic,0.00018198682911121493,0.0003458581551120213,0.0025910424006332813
blood_pressure_diastolic,8.01061802735163e-05,0.0005271616866346718,-0.0002875317220044712
daily_steps_count,-0.0002171024733186356,-0.0015068233951646861,-0.0026617398123383626
weekly_work_hours,0.00037921415734460095,-0.0013305635962538374,0.0009271592850483374
hobbies_count,0.00021670042857481172,-0.0009536054002468727,-0.001821544629565053
social_events_per_month,-0.0002856506110550573,-0.000771144228679551,-4.485209717894176e-05
books_read_per_year,0.0003377890597754319,5.909368175647543e-05,0.0008487486719330498
volunteer_hours_per_month,-0.0002241819502754245,0.00020622508384254362,-1.1972432286418116e-05
travel_frequency_per_year,-5.305009746072407e-05,0.0010834162284109718,-0.001970862886681117
daily_active_minutes_instagram,0.27406834474776753,-0.022276139172660653,-0.002733306279244991
sessions_per_day,0.20982823633263173,-0.002193099515033635,-0.4058509106720884
posts_created_per_week,0.15058027753973435,0.22674052153095048,-0.12687762046988574
reels_watched_per_day,0.2474826277337637,0.080346880265074,-0.026139859461620115
stories_viewed_per_day,0.2649579257556288,-0.02320359009485791,0.026267477198611198
likes_given_per_day,0.2695106019279784,-0.022138983807093386,-0.0054787573206637385
comments_written_per_day,0.260501641444802,-0.021614885777025743,-0.007373251872218828
dms_sent_per_week,0.2500447650844761,-0.022217092963109013,-0.0030779836808668623
dms_received_per_week,0.2557007683104444,-0.022094763651647486,-0.0030866314938704418
ads_viewed_per_day,0.24834372613075575,-0.022438151888529226,-0.0021448240823988443
ads_clicked_per_day,0.2023004757926358,-0.023245636306452256,-0.0032616037955420637
time_on_feed_per_day,0.26820692981654326,-0.022508434112158877,-0.0029467564920179767
time_on_explore_per_day,0.24239170817725894,-0.022872806574800862,-0.002897541187326683
time_on_messages_per_day,0.24972045082392566,-0.022471790080978105,-0.0029147665280428725
time_on_reels_per_day,0.2585929592719441,-0.022512928416815882,-0.0023814710564878543
followers_count,0.022939335528817575,0.6586468007374641,0.09622178635501422
following_count,0.025823187076481607,0.6607822178881017,0.09276235611528724
notification_response_rate,-6.856763558114182e-05,0.0021952947091465128,-0.0002918497863778017
account_creation_year,-0.00019788899987250447,0.0006352379558533516,0.0004579147298031036
average_session_length_minutes,0.05479823294035813,-0.0505371017977813,0.7761650568409268
linked_accounts_count,-8.054131672957307e-05,-0.002307146398725056,-0.002373146220804037
user_engagement_score,-0.1551045271385884,0.07939318276292143,-0.41381453964831755
